name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
Zepiqueno Redmond,Netherlands,FORWARD,18,2.0,80.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Selvi Clua,Spain,MIDFIELDER,20,1.0,79.0,0.0,0.0,0.0,0.0,0.0,Girona
Ethan Mbappé,France,MIDFIELDER,18,2.0,78.0,0.0,0.0,0.0,0.0,0.0,Lille
Jonas Martin,France,MIDFIELDER,35,5.0,77.0,0.0,0.0,0.0,0.0,0.0,Brest
Carney Chukwuemeka,England,MIDFIELDER,21,3.0,77.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Arthur Cabral,Brazil,FORWARD,27,6.0,76.0,1.0,0.0,0.0,0.0,1.0,Benfica
Ismaël Bennacer,Algeria,MIDFIELDER,27,1.0,75.0,0.0,1.0,0.0,0.0,0.0,Milan
Gabriel Teixeira,Brazil,MIDFIELDER,24,2.0,73.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Branko Pavić,Croatia,MIDFIELDER,18,1.0,73.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Hugo Siquet,Belgium,DEFENDER,22,4.0,70.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Marcus Edwards,England,FORWARD,26,1.0,68.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Ibrahim Salah,Belgium,FORWARD,23,6.0,67.0,0.0,0.0,0.0,1.0,0.0,Brest
Jordan Teze,Netherlands,DEFENDER,25,3.0,66.0,0.0,0.0,0.0,0.0,0.0,Monaco
Marco Palestra,Italy,DEFENDER,20,3.0,65.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Aymen Sliti,Netherlands,FORWARD,19,1.0,63.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Anthony Ralston,Scotland,DEFENDER,26,3.0,62.0,0.0,0.0,0.0,1.0,0.0,Celtic
Arbër Hoxha,Albania,FORWARD,26,5.0,60.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
James Forrest,Scotland,MIDFIELDER,33,4.0,60.0,0.0,1.0,0.0,0.0,0.0,Celtic
Filippo Terracciano,Italy,DEFENDER,22,2.0,60.0,0.0,0.0,0.0,0.0,0.0,Milan
Andrea Belotti,Italy,FORWARD,31,4.0,55.0,0.0,0.0,0.0,0.0,0.0,Benfica
Leonidas Stergiou,Switzerland,DEFENDER,23,4.0,53.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Romeo Vermant,Belgium,FORWARD,21,5.0,52.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Al Musrati,Portugal,MIDFIELDER,29,1.0,52.0,0.0,0.0,0.0,2.0,1.0,Monaco
Takumu Kawamura,Japan,MIDFIELDER,25,3.0,51.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Luke McCowan,Scotland,MIDFIELDER,27,3.0,48.0,0.0,0.0,0.0,0.0,0.0,Celtic
Kryštof Daněk,Czechia,MIDFIELDER,22,3.0,48.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Gjivai Zechiel,Netherlands,MIDFIELDER,20,2.0,46.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Ousmane Toure,France,DEFENDER,20,1.0,45.0,0.0,0.0,0.0,1.0,0.0,Lille
Javi Serrano,Spain,MIDFIELDER,22,1.0,45.0,0.0,0.0,0.0,1.0,0.0,Atleti
